1,1,1338.13,416.19,168.13,371.79,0.920,-1,-1,-1
1,2,581.50,444.37,92.54,263.61,0.903,-1,-1,-1
1,3,439.56,444.94,111.60,278.36,0.891,-1,-1,-1
1,4,1444.71,430.38,155.43,335.31,0.884,-1,-1,-1
1,5,730.02,467.19,35.68,101.95,0.795,-1,-1,-1
1,6,1255.30,443.84,37.78,102.79,0.724,-1,-1,-1
1,7,936.80,434.89,35.89,82.86,0.657,-1,-1,-1
1,8,1015.50,424.45,44.94,106.11,0.645,-1,-1,-1
1,9,1106.58,438.89,32.42,109.95,0.493,-1,-1,-1
1,10,547.63,467.45,33.72,89.85,0.471,-1,-1,-1
1,11,917.02,487.65,97.87,98.08,0.465,-1,-1,-1
1,12,1368.30,432.70,29.67,52.52,0.433,-1,-1,-1
1,13,969.28,486.98,45.00,65.80,0.373,-1,-1,-1
1,14,1686.95,426.64,101.14,158.57,0.357,-1,-1,-1
1,15,654.31,452.17,36.43,75.56,0.351,-1,-1,-1
1,16,838.45,462.91,35.60,79.75,0.345,-1,-1,-1
1,17,974.58,443.90,32.11,66.52,0.337,-1,-1,-1
1,18,650.27,452.08,47.29,190.62,0.324,-1,-1,-1
1,19,684.66,479.67,46.85,122.28,0.304,-1,-1,-1
1,20,1305.17,428.92,38.86,116.68,0.296,-1,-1,-1
1,21,964.91,487.96,50.58,89.22,0.268,-1,-1,-1
1,22,416.96,453.86,39.17,59.66,0.260,-1,-1,-1
1,23,810.79,477.27,31.48,71.61,0.253,-1,-1,-1
1,24,853.15,464.47,27.62,76.48,0.251,-1,-1,-1
2,1,1341.75,420.12,167.24,369.81,0.920,-1,-1,-1
2,2,581.59,444.58,92.51,263.48,0.893,-1,-1,-1
2,3,441.91,445.88,111.33,277.52,0.885,-1,-1,-1
2,4,1446.86,431.14,156.01,336.96,0.878,-1,-1,-1
2,5,730.82,467.92,35.48,101.34,0.781,-1,-1,-1
2,6,1256.05,444.18,37.77,102.81,0.705,-1,-1,-1
2,7,936.85,435.10,35.81,82.66,0.658,-1,-1,-1
2,8,1013.96,423.25,45.75,107.87,0.684,-1,-1,-1
2,9,1106.27,440.57,32.04,108.59,0.417,-1,-1,-1
2,10,548.19,469.14,32.99,87.90,0.414,-1,-1,-1
2,11,917.95,485.55,99.82,100.04,0.435,-1,-1,-1
2,12,1370.81,432.31,32.10,56.81,0.458,-1,-1,-1
2,13,969.71,485.34,45.74,66.84,0.418,-1,-1,-1
2,14,1688.57,426.71,100.78,158.09,0.339,-1,-1,-1
2,15,654.18,452.04,37.11,76.95,0.365,-1,-1,-1
2,16,839.56,462.94,35.09,78.70,0.322,-1,-1,-1
2,17,974.95,444.65,32.28,66.88,0.298,-1,-1,-1
2,18,650.53,452.61,47.33,190.54,0.304,-1,-1,-1
2,20,1305.43,428.34,39.18,117.65,0.328,-1,-1,-1
2,21,962.47,486.18,54.89,96.78,0.296,-1,-1,-1
2,23,810.55,478.16,30.86,70.10,0.253,-1,-1,-1
2,24,853.74,465.08,27.17,75.19,0.261,-1,-1,-1
3,1,1347.12,420.89,168.58,372.31,0.921,-1,-1,-1
3,2,581.54,444.38,92.66,263.69,0.901,-1,-1,-1
3,3,441.64,444.87,112.00,278.71,0.895,-1,-1,-1
3,4,1452.11,431.34,156.12,337.92,0.840,-1,-1,-1
3,5,731.50,468.12,35.29,100.75,0.805,-1,-1,-1
3,6,1255.66,443.55,37.84,103.13,0.682,-1,-1,-1
3,7,936.82,434.97,35.66,82.35,0.656,-1,-1,-1
3,8,1014.03,423.53,45.58,107.14,0.685,-1,-1,-1
3,9,1104.98,435.98,33.53,113.54,0.451,-1,-1,-1
3,10,545.25,453.30,38.58,102.97,0.379,-1,-1,-1
3,12,1369.81,430.49,37.64,67.10,0.416,-1,-1,-1
3,13,966.48,485.61,49.68,72.81,0.371,-1,-1,-1
3,14,1688.11,427.33,100.33,157.48,0.347,-1,-1,-1
3,15,654.94,452.63,37.36,77.21,0.403,-1,-1,-1
3,16,840.80,463.43,35.06,78.66,0.346,-1,-1,-1
3,17,974.69,444.69,33.37,69.06,0.453,-1,-1,-1
3,18,649.26,452.13,47.46,190.94,0.299,-1,-1,-1
3,20,1305.75,427.55,39.38,118.32,0.328,-1,-1,-1
3,24,853.33,464.69,27.48,76.02,0.309,-1,-1,-1
4,1,1351.02,419.25,171.64,378.49,0.920,-1,-1,-1
4,2,582.06,443.87,92.96,264.06,0.894,-1,-1,-1
4,3,442.58,446.72,111.58,276.85,0.890,-1,-1,-1
4,4,1459.63,429.75,156.08,339.85,0.831,-1,-1,-1
4,5,731.98,469.79,34.78,99.21,0.785,-1,-1,-1
4,6,1255.76,443.55,37.68,102.85,0.702,-1,-1,-1
4,7,937.01,435.12,35.48,81.91,0.641,-1,-1,-1
4,8,1013.54,422.73,46.31,108.13,0.712,-1,-1,-1
4,9,1104.91,434.62,34.06,115.19,0.403,-1,-1,-1
4,10,544.50,452.34,38.83,103.97,0.291,-1,-1,-1
4,12,1368.69,430.48,41.53,74.71,0.445,-1,-1,-1
4,13,967.38,484.71,48.79,71.68,0.332,-1,-1,-1
4,14,1685.31,426.37,101.59,159.17,0.305,-1,-1,-1
